s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
0065.01321,77,ILE DE FRANCE,SEINE ET MARNE,LAGNY SUR MARNE,YPREMA,676401,6864097,2017-03-21,A,NS,Industries,En fonctionnement,77400,77243,08.12Z
0065.01333,77,ILE DE FRANCE,SEINE ET MARNE,LAGNY SUR MARNE,SOCIETE DES ENROBEES EST PARISIEN SEEP,676247,6864012,2014-08-27,E,NS,Industries,En fonctionnement,77400,77243,
0065.01344,77,ILE DE FRANCE,SEINE ET MARNE,LAGNY SUR MARNE,ROTOCOLOR     ,676730,6863833,2015-10-27,A,NS,Industries,En fonctionnement,77400,77243,
0065.01349,77,ILE DE FRANCE,SEINE ET MARNE,LAGNY SUR MARNE,SUQUART (ABOISIF),676596,6863841,2018-01-16,A,NS,Industries,En fonctionnement,77400,77243,46.73A
0065.01366,77,ILE DE FRANCE,SEINE ET MARNE,LAGNY SUR MARNE,CORNEC,677165,6863913,2019-10-03,A,NS,Industries,En fonctionnement,77400,77243,
0065.01372,77,ILE DE FRANCE,SEINE ET MARNE,LARCHANT,SIBELCO France,669774,6796888,2020-06-26,A,NS,Carrières,En fonctionnement,77760,77244,
0065.01383,77,ILE DE FRANCE,SEINE ET MARNE,LIEUSAINT,IVANHOE LOGISTIQUE LIEUSAINT,666676,6838289,2018-09-13,E,NS,Industries,En fonctionnement,77127,77251,
0065.01384,77,ILE DE FRANCE,SEINE ET MARNE,LIEUSAINT,UNIVAR ,666721,6838024,2018-02-13,A,SB,Industries,En fonctionnement,77127,77251,46.75Z
0065.01393,77,ILE DE FRANCE,SEINE ET MARNE,LIEUSAINT,LOGICOR (Loren) GARONOR II SAS,667242,6838196,2020-01-20,A,NS,Industries,En fonctionnement,77127,77251,
0065.01394,77,ILE DE FRANCE,SEINE ET MARNE,LIEUSAINT,MANSFORD FRANCE 6  - MF6 (ex BREGER),667191,6838200,2019-09-26,E,NS,Industries,En fonctionnement,77127,77251,
0065.01398,77,ILE DE FRANCE,SEINE ET MARNE,LIEUSAINT,ALPHAPRIM,666740,6838056,2019-05-02,A,NS,Industries,En fonctionnement,77127,77251,46.33Z
0065.01399,77,ILE DE FRANCE,SEINE ET MARNE,LIEUSAINT,AMF (ex LOGIDIS COMPTOIRS MODERNES-CAR4),667689,6837926,2018-08-14,E,NS,Industries,En fonctionnement,77127,77251,
0065.01406,77,ILE DE FRANCE,SEINE ET MARNE,LIMOGES FOURCHES,GIE ALLIANCE (Ex EPI),675237,6837168,,E,NS,Industries,En fonctionnement,77550,77252,
0065.01430,77,ILE DE FRANCE,SEINE ET MARNE,LOGNES,ROTOFRANCE IMPRESSION,672966,6859164,2020-11-09,A,NS,Industries,En fonctionnement,77185,77258,
0065.01433,77,ILE DE FRANCE,SEINE ET MARNE,LOGNES,Ministère de l'intérieur - SIVM ,673274,6859215,2016-10-20,A,NS,Industries,En fonctionnement,77185,77258,
0065.01438,77,ILE DE FRANCE,SEINE ET MARNE,LOGNES,FONCIERE MOZART,672371,6858420,2018-04-12,A,NS,Industries,En fonctionnement,77185,77258,
0065.01447,77,ILE DE FRANCE,SEINE ET MARNE,LOGNES,GEOVAL (ex SAN Marne la Vallée / Dalkia),674180,6859934,2020-06-08,E,NS,Industries,En fonctionnement,77185,77258,
0065.01451,77,ILE DE FRANCE,SEINE ET MARNE,CROISSY BEAUBOURG,SCI PEC LOGNES (exIMMOLOGNES),673241,6858616,2020-09-25,A,NS,Industries,En fonctionnement,77183,77146,
0065.01454,77,ILE DE FRANCE,SEINE ET MARNE,LOGNES,SOFRILOG Marne,671964,6858417,2019-10-17,A,NS,Industries,En fonctionnement,77185,77258,
0065.01468,77,ILE DE FRANCE,SEINE ET MARNE,LONGUEVILLE,OSBORN TUBES,717904,6823540,2020-05-27,A,NS,Industries,En fonctionnement,77650,77260,
0065.01473,77,ILE DE FRANCE,SEINE ET MARNE,LORREZ LE BOCAGE PREAUX,Terres Bocage Gâtinais ex SCARLE,693817,6793952,2014-02-06,A,NS,Industries,En fonctionnement,77710,77261,
0065.01477,77,ILE DE FRANCE,SEINE ET MARNE,LUZANCY,GSM secteur IdF Est ,713862,6876133,2019-07-17,A,NS,Carrières,En fonctionnement,77138,77265,08.12Z
0065.01493,77,ILE DE FRANCE,SEINE ET MARNE,MARCILLY,DRM,692559,6881338,2020-12-14,A,NS,Industries,En fonctionnement,77139,77274,46.77Z
0065.01510,77,ILE DE FRANCE,SEINE ET MARNE,MEAUX,PANALOG (ex PANAVI),693152,6873842,2020-02-25,A,NS,Industries,En fonctionnement,77100,77284,49.41A
0065.01518,77,ILE DE FRANCE,SEINE ET MARNE,MAROLLES SUR SEINE,KNAUF ILE DE FRANCE,704689,6809719,2020-07-28,E,NS,Industries,En fonctionnement,77130,77279,46.73A
0065.01524,77,ILE DE FRANCE,SEINE ET MARNE,MAROLLES SUR SEINE,SEINE ET MARNE ENROBES,705280,6809690,2019-07-22,E,NS,Industries,En fonctionnement,77130,77279,23.99Z
0065.01525,77,ILE DE FRANCE,SEINE ET MARNE,MAROLLES SUR SEINE,Société Nouvelle de Ballastières,700749,6810161,2015-11-24,E,NS,Industries,En fonctionnement,77130,77279,08.12Z
0065.01529,77,ILE DE FRANCE,SEINE ET MARNE,MARY SUR MARNE,HELIO PRINT (ex H2D ex QUEBECOR ),702484,6879856,2020-12-28,A,NS,Industries,En fonctionnement,77440,77280,
0065.01550,77,ILE DE FRANCE,SEINE ET MARNE,MEAUX,DEFI GROUP,693552,6873854,2015-09-15,E,NS,Industries,En fonctionnement,77040,77284,
