,Unnamed: 0,s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
838,1254,0032.04472,42,AUVERGNE - RHONE-ALPES,LOIRE,ST ETIENNE,SOUCHON Dimitriou (locataire terrain),808593,6483331,2020-10-20,E,NS,Industries,En fonctionnement,42100,42218,
844,1261,0032.04553,26,AUVERGNE - RHONE-ALPES,DROME,LIVRON SUR DROME,COMMUNAUTE DE COMMUNES DU VAL DE DROME,845644,6411635,,E,NS,Industries,En fonctionnement,26250,26165,
849,1272,0033.00097,71,BOURGOGNE - FRANCHE-COMTE,SAONE ET LOIRE,LA CLAYETTE,COMMUNE DE LA CLAYETTE (ISDI),800535,6576608,2017-12-12,E,NS,Industries,En fonctionnement,71800,71133,
853,1276,0033.00150,58,BOURGOGNE - FRANCHE-COMTE,NIEVRE,LUZY,ComCom Bazois Loire Morvan,775613,6634466,2017-04-27,E,NS,Industries,En fonctionnement,58170,58149,
882,1312,0033.00538,39,BOURGOGNE - FRANCHE-COMTE,JURA,DAMPARIS,Horner-Gruet,883057,6665726,,A,NS,Industries,En fonctionnement,39500,39189,
889,1319,0033.00565,39,BOURGOGNE - FRANCHE-COMTE,JURA,TAVAUX,RAGEOT MICHEL,882653,6662582,,A,NS,Industries,En fonctionnement,39500,39526,
900,1332,0033.00646,39,BOURGOGNE - FRANCHE-COMTE,JURA,ASNANS BEAUVOISIN,BOULET GUY,882300,6651200,,A,NS,Industries,En fonctionnement,39120,39022,
903,1335,0033.00682,39,BOURGOGNE - FRANCHE-COMTE,JURA,HAUTS DE BIENNE,ROMANET CH,932608,6607198,,A,NS,Industries,En fonctionnement,39400,39368,
904,1336,0033.00691,39,BOURGOGNE - FRANCHE-COMTE,JURA,BALANOD,CHENUT ets,880915,6597469,,A,NS,Industries,En fonctionnement,39160,39035,
922,1354,0033.00727,39,BOURGOGNE - FRANCHE-COMTE,JURA,BREVANS,MARLIN (madame),891597,6669700,,A,NS,Industries,En fonctionnement,39100,39078,
930,1362,0033.00754,39,BOURGOGNE - FRANCHE-COMTE,JURA,CHAMPAGNOLE,COLLEGE ENSEIGNEMENT TECHNIQUE,917699,6630825,,A,NS,Industries,En fonctionnement,39300,39097,
934,1366,0033.00781,39,BOURGOGNE - FRANCHE-COMTE,JURA,CHAMPAGNOLE,TORREFACTION DE L'EST,922627,6631676,,A,NS,Industries,En fonctionnement,39300,39097,
948,1380,0033.00808,39,BOURGOGNE - FRANCHE-COMTE,JURA,CHAUSSIN,QUENOT MICHEL (Mme Vve),882938,6655107,,A,NS,Industries,En fonctionnement,39120,39128,
951,1383,0033.00817,39,BOURGOGNE - FRANCHE-COMTE,JURA,CHAUX DES CROTENAY,JACQUOT ANDRE,925857,6621931,,A,NS,Industries,En fonctionnement,39150,39129,
956,1388,0033.00826,71,BOURGOGNE - FRANCHE-COMTE,SAONE ET LOIRE,MANCEY,SADE CGTH _ Direction Régionale Centre E,841489,6609029,,E,NS,Industries,En fonctionnement,71240,71274,42.21Z
962,1394,0033.00835,39,BOURGOGNE - FRANCHE-COMTE,JURA,CLAIRVAUX LES LACS,COQUELIN,911504,6610864,,A,NS,Industries,En fonctionnement,39130,39154,
973,1405,0033.00871,39,BOURGOGNE - FRANCHE-COMTE,JURA,COUSANCE,PIZUTTI,882620,6606380,,A,NS,Industries,En fonctionnement,39190,39173,
977,1409,0033.00880,39,BOURGOGNE - FRANCHE-COMTE,JURA,CROTENAY,CONROD RENE,914696,6631785,,A,NS,Industries,En fonctionnement,39300,39183,
991,1423,0033.00925,39,BOURGOGNE - FRANCHE-COMTE,JURA,DOLE,SA RIPOTOT,889789,6669344,,A,NS,Industries,En fonctionnement,39100,39198,
998,1431,0033.00961,39,BOURGOGNE - FRANCHE-COMTE,JURA,DOLE,MOINE MAURICE,889600,6666900,,A,NS,Industries,En fonctionnement,39100,39198,
1009,1442,0033.01005,39,BOURGOGNE - FRANCHE-COMTE,JURA,DOUCIER,CAGNAT hotel,912905,6619840,,A,NS,Industries,En fonctionnement,39130,39201,
1014,1447,0033.01014,39,BOURGOGNE - FRANCHE-COMTE,JURA,ORCHAMPS,RIEME BERNARD,902129,6675569,,A,NS,Industries,En fonctionnement,39700,39396,
1033,1467,0033.01069,39,BOURGOGNE - FRANCHE-COMTE,JURA,FOUCHERANS,MENETREL ET Cie (SA),885573,6667595,,A,NS,Industries,En fonctionnement,39100,39233,
1049,1483,0033.01104,39,BOURGOGNE - FRANCHE-COMTE,JURA,LAMOURA,FOLJ,929719,6594934,,A,NS,Industries,En fonctionnement,39310,39275,
1057,1491,0033.01140,39,BOURGOGNE - FRANCHE-COMTE,JURA,FORT DU PLASNE,GROUPE SCOLAIRE MICHELET,928184,6618127,,A,NS,Industries,En fonctionnement,39150,39232,
1080,1517,0033.01258,39,BOURGOGNE - FRANCHE-COMTE,JURA,LES TROIS CHATEAUX,GERDOR SARL,880844,6593552,,A,NS,Industries,En fonctionnement,39160,39378,
1083,1520,0033.01267,39,BOURGOGNE - FRANCHE-COMTE,JURA,PERRIGNY,COILLAT,898899,6622743,,A,NS,Industries,En fonctionnement,39570,39411,
1095,1536,0033.01339,39,BOURGOGNE - FRANCHE-COMTE,JURA,ST AUBIN,VERNOTTE ALPHONSE,877635,6661787,,A,NS,Industries,En fonctionnement,39410,39476,
1103,1544,0033.01375,39,BOURGOGNE - FRANCHE-COMTE,JURA,ST CLAUDE,VUILLET VERGUET ETS,919565,6593039,,A,NS,Industries,En fonctionnement,39200,39478,
1111,1555,0033.01410,39,BOURGOGNE - FRANCHE-COMTE,JURA,LE VAUDIOUX,PETITJEAN LOUIS,924084,6624745,,A,NS,Industries,En fonctionnement,39300,39545,
1117,1561,0033.01429,39,BOURGOGNE - FRANCHE-COMTE,JURA,VOITEUR,FERAT DANIEL,898968,6630074,,A,NS,Industries,En fonctionnement,39210,39582,
1122,1567,0033.01483,21,BOURGOGNE - FRANCHE-COMTE,COTE D'OR,VILLARS FONTAINE,NOIROT,844788,6673377,2016-08-24,E,NS,Industries,En fonctionnement,21700,21688,
1130,1580,0033.01564,21,BOURGOGNE - FRANCHE-COMTE,COTE D'OR,AISEREY,Metal 21,863445,6678001,2020-10-19,A,NS,Industries,En fonctionnement,21110,21005,38.32Z
1131,1582,0033.01573,21,BOURGOGNE - FRANCHE-COMTE,COTE D'OR,NUITS ST GEORGES,CC Gevrey-Chambertin Nuits-Saint-Georges,846568,6671756,2019-05-06,E,NS,Industries,En fonctionnement,21700,21464,
1141,1594,0033.01681,25,BOURGOGNE - FRANCHE-COMTE,DOUBS,PONTARLIER,Conseil Départemental 25 (ex DDE),957387,6651247,,A,NS,Industries,En fonctionnement,25300,25462,
1150,1608,0033.01780,39,BOURGOGNE - FRANCHE-COMTE,JURA,DOLE,AFULUDINE,886876,6666979,2020-01-31,A,NS,Industries,En fonctionnement,39100,39198,
1152,1613,0033.01816,71,BOURGOGNE - FRANCHE-COMTE,SAONE ET LOIRE,FRAGNES LA LOYERE,SOCIETE GENERALE DES TECHNIQUES,841953,6638098,2019-11-19,E,NS,Industries,En fonctionnement,71530,71204,
1160,1625,0033.02004,71,BOURGOGNE - FRANCHE-COMTE,SAONE ET LOIRE,MARLY SOUS ISSY,GAEC POTIGNON,771827,6626251,,E,NS,Volailles,En fonctionnement,71760,71280,01.42Z
1179,1650,0033.02301,21,BOURGOGNE - FRANCHE-COMTE,COTE D'OR,BEAUNE,Alix logistique sarl,840048,6659661,,E,NS,Industries,En fonctionnement,21200,21054,
1193,1669,0033.02428,71,BOURGOGNE - FRANCHE-COMTE,SAONE ET LOIRE,BAUGY,LES ETANGS DU BRIONNAIS,779812,6578541,2019-04-04,A,NS,Carrières,En fonctionnement,71110,71024,68.20B
1195,1671,0033.02437,39,BOURGOGNE - FRANCHE-COMTE,JURA,BEAUFORT-ORBAGNA,SICTOM DE LA ZONE DE LONS LE SAUNIER,886287,6612435,,E,NS,Industries,En fonctionnement,39190,39043,38.11Z
1199,1675,0033.02482,71,BOURGOGNE - FRANCHE-COMTE,SAONE ET LOIRE,NAVILLY,FALCOME Recyclage,863285,6649521,2021-01-27,E,NS,Industries,En fonctionnement,71270,71329,
1217,1694,0033.02734,21,BOURGOGNE - FRANCHE-COMTE,COTE D'OR,BUNCEY,SOS Depannage Auto,817337,6748326,2020-11-16,E,NS,Industries,En fonctionnement,21400,21115,45.20A
1219,1697,0033.02851,21,BOURGOGNE - FRANCHE-COMTE,COTE D'OR,VIEILMOULIN,BAUDOT Gérard,825926,6690938,2020-11-16,E,NS,Industries,En fonctionnement,21540,21679,
1222,1701,0033.02914,21,BOURGOGNE - FRANCHE-COMTE,COTE D'OR,BRAZEY EN PLAINE,CC Rives de Saône,867932,6671674,,E,NS,Industries,En fonctionnement,21470,21103,68.20B
1223,1702,0033.02932,71,BOURGOGNE - FRANCHE-COMTE,SAONE ET LOIRE,MERVANS,SATORY Henry - VHU illegal,866420,6633195,2020-05-15,E,NS,Industries,En fonctionnement,71310,71295,47.89Z
1225,1704,0033.02950,58,BOURGOGNE - FRANCHE-COMTE,NIEVRE,ST QUENTIN SUR NOHAIN,ComCom Coeur de Loire,701590,6691822,,E,NS,Industries,En fonctionnement,58150,58265,
1230,1712,0033.03030,39,BOURGOGNE - FRANCHE-COMTE,JURA,PERRIGNY,SOCOTHERM DSM,898899,6622743,,A,NS,Industries,En fonctionnement,39570,39411,
1231,1713,0033.03049,39,BOURGOGNE - FRANCHE-COMTE,JURA,RELANS,VHU illégale RELANS,886181,6632345,,E,NS,Industries,En fonctionnement,39140,39456,
1243,1730,0037.00020,46,OCCITANIE,LOT,CABRERETS,SYDED DU LOT,588197,6384534,2018-06-14,E,NS,Industries,En fonctionnement,46330,46040,
1257,1745,0037.00093,31,OCCITANIE,HAUTE GARONNE,PLAISANCE DU TOUCH,SUEZ RV SUD OUEST,562665,6278654,2018-10-22,A,NS,Industries,En fonctionnement,31830,31424,38.11Z
1261,1749,0037.00147,82,OCCITANIE,TARN ET GARONNE,VERDUN SUR GARONNE,Communauté de communes Grand sud 82,556913,6308040,2017-03-16,E,NS,Industries,En fonctionnement,82600,82190,
1280,1768,0037.00570,81,OCCITANIE,TARN,LABRUGUIERE,SAS DUO SUD,642142,6273212,2019-10-22,A,NS,Industries,En fonctionnement,81290,81120,38.32Z
1295,1785,0037.00732,12,OCCITANIE,AVEYRON,BOZOULS,STRATAGEM,678792,6374941,2020-11-24,E,NS,Industries,En fonctionnement,12340,12033,31.02Z
1300,1790,0037.00769,31,OCCITANIE,HAUTE GARONNE,COLOMIERS,TOULOUSE UTILITAIRES(CZE),563756,6279267,2020-05-14,E,NS,Industries,En fonctionnement,31770,31149,45.19Z
1310,1802,0037.00930,31,OCCITANIE,HAUTE GARONNE,TOULOUSE,LATECOERE,578518,6283660,2020-06-11,A,NS,Industries,En fonctionnement,31200,31555,
1312,1805,0037.00985,66,OCCITANIE,PYRENEES ORIENTALES,LE BOULOU,SYDETOM 66 LE BOULOU-DECHETS VERTS,685154,6158749,2019-03-14,E,NS,Industries,En fonctionnement,66160,66024,38.21Z
1319,1812,0037.01137,34,OCCITANIE,HERAULT,ST THIBERY,ISDI ROCHES BLEUES - SAINT THIBERY,734703,6254437,2018-08-16,E,NS,Industries,En fonctionnement,34630,34289,
1321,1814,0037.01146,66,OCCITANIE,PYRENEES ORIENTALES,ELNE,LOURENCO E SILVA Joaquim,696906,6166976,2020-05-04,E,NS,Industries,En fonctionnement,66200,66065,
1344,1843,0037.01425,31,OCCITANIE,HAUTE GARONNE,TOULOUSE,LYC GEN ET TECHNOLOGIQUE DES ARENES,569544,6273093,2018-11-08,E,NS,Industries,En fonctionnement,31100,31555,56.29B
1353,1854,0037.01669,11,OCCITANIE,AUDE,PIEUSSE,LIMOUX CONDITIONNEMENT,636726,6220468,2020-11-02,E,NS,Industries,En fonctionnement,11300,11289,82.92Z
1356,1858,0037.01722,34,OCCITANIE,HERAULT,ST CLEMENT DE RIVIERE,CARREFOUR HYPERMARCHES,767623,6283446,2016-09-05,E,NS,Industries,En fonctionnement,34980,34247,47.11F
1367,1871,0037.02073,66,OCCITANIE,PYRENEES ORIENTALES,CANET EN ROUSSILLON,SPL - PMMCU ISDI CANET,697616,6176439,2020-03-05,E,NS,Industries,En fonctionnement,66140,66037,
